"location","category","date","Y"
"market_001","region_4",2022-08-07,650
"market_001","region_4",2022-08-08,626
"market_002","region_6",2022-01-01,294
"market_002","region_6",2022-01-02,280
"market_002","region_6",2022-01-03,285
"market_002","region_6",2022-01-04,243
"market_002","region_6",2022-01-05,258
"market_002","region_6",2022-01-06,269
"market_002","region_6",2022-01-07,281
"market_002","region_6",2022-01-08,269
"market_002","region_6",2022-01-09,308
"market_002","region_6",2022-01-10,263
"market_002","region_6",2022-01-11,239
"market_002","region_6",2022-01-12,275
"market_002","region_6",2022-01-13,282
"market_002","region_6",2022-01-14,293
"market_002","region_6",2022-01-15,262
"market_002","region_6",2022-01-16,272
"market_002","region_6",2022-01-17,244
"market_002","region_6",2022-01-18,271
"market_002","region_6",2022-01-19,256
"market_002","region_6",2022-01-20,272
"market_002","region_6",2022-01-21,273
"market_002","region_6",2022-01-22,254
"market_002","region_6",2022-01-23,266
"market_002","region_6",2022-01-24,223
"market_002","region_6",2022-01-25,262
"market_002","region_6",2022-01-26,269
"market_002","region_6",2022-01-27,242
"market_002","region_6",2022-01-28,226
"market_002","region_6",2022-01-29,245
"market_002","region_6",2022-01-30,251
"market_002","region_6",2022-01-31,288
"market_002","region_6",2022-02-01,262
"market_002","region_6",2022-02-02,241
"market_002","region_6",2022-02-03,279
"market_002","region_6",2022-02-04,239
"market_002","region_6",2022-02-05,278
"market_002","region_6",2022-02-06,300
"market_002","region_6",2022-02-07,265
"market_002","region_6",2022-02-08,284
"market_002","region_6",2022-02-09,291
"market_002","region_6",2022-02-10,243
"market_002","region_6",2022-02-11,249
"market_002","region_6",2022-02-12,258
"market_002","region_6",2022-02-13,280
"market_002","region_6",2022-02-14,275
"market_002","region_6",2022-02-15,274
"market_002","region_6",2022-02-16,271
"market_002","region_6",2022-02-17,273
"market_002","region_6",2022-02-18,276
"market_002","region_6",2022-02-19,267
"market_002","region_6",2022-02-20,246
"market_002","region_6",2022-02-21,240
"market_002","region_6",2022-02-22,255
"market_002","region_6",2022-02-23,278
"market_002","region_6",2022-02-24,284
"market_002","region_6",2022-02-25,228
"market_002","region_6",2022-02-26,254
"market_002","region_6",2022-02-27,294
"market_002","region_6",2022-02-28,240
"market_002","region_6",2022-03-01,225
"market_002","region_6",2022-03-02,264
"market_002","region_6",2022-03-03,292
"market_002","region_6",2022-03-04,306
"market_002","region_6",2022-03-05,289
"market_002","region_6",2022-03-06,291
"market_002","region_6",2022-03-07,283
"market_002","region_6",2022-03-08,267
"market_002","region_6",2022-03-09,207
"market_002","region_6",2022-03-10,288
"market_002","region_6",2022-03-11,276
"market_002","region_6",2022-03-12,304
"market_002","region_6",2022-03-13,271
"market_002","region_6",2022-03-14,246
"market_002","region_6",2022-03-15,288
"market_002","region_6",2022-03-16,265
"market_002","region_6",2022-03-17,329
"market_002","region_6",2022-03-18,290
"market_002","region_6",2022-03-19,296
"market_002","region_6",2022-03-20,287
"market_002","region_6",2022-03-21,252
"market_002","region_6",2022-03-22,250
"market_002","region_6",2022-03-23,274
"market_002","region_6",2022-03-24,279
"market_002","region_6",2022-03-25,278
"market_002","region_6",2022-03-26,254
"market_002","region_6",2022-03-27,302
"market_002","region_6",2022-03-28,240
"market_002","region_6",2022-03-29,251
"market_002","region_6",2022-03-30,302
"market_002","region_6",2022-03-31,277
"market_002","region_6",2022-04-01,297
"market_002","region_6",2022-04-02,292
"market_002","region_6",2022-04-03,268
"market_002","region_6",2022-04-04,271
"market_002","region_6",2022-04-05,278
"market_002","region_6",2022-04-06,220
"market_002","region_6",2022-04-07,262
"market_002","region_6",2022-04-08,298
"market_002","region_6",2022-04-09,284
"market_002","region_6",2022-04-10,283
"market_002","region_6",2022-04-11,298
"market_002","region_6",2022-04-12,266
"market_002","region_6",2022-04-13,283
"market_002","region_6",2022-04-14,252
"market_002","region_6",2022-04-15,261
"market_002","region_6",2022-04-16,257
"market_002","region_6",2022-04-17,284
"market_002","region_6",2022-04-18,270
"market_002","region_6",2022-04-19,292
"market_002","region_6",2022-04-20,262
"market_002","region_6",2022-04-21,291
"market_002","region_6",2022-04-22,310
"market_002","region_6",2022-04-23,270
"market_002","region_6",2022-04-24,283
"market_002","region_6",2022-04-25,251
"market_002","region_6",2022-04-26,273
"market_002","region_6",2022-04-27,239
"market_002","region_6",2022-04-28,249
"market_002","region_6",2022-04-29,281
"market_002","region_6",2022-04-30,284
"market_002","region_6",2022-05-01,285
"market_002","region_6",2022-05-02,274
"market_002","region_6",2022-05-03,258
"market_002","region_6",2022-05-04,263
"market_002","region_6",2022-05-05,301
"market_002","region_6",2022-05-06,281
"market_002","region_6",2022-05-07,262
"market_002","region_6",2022-05-08,267
"market_002","region_6",2022-05-09,254
"market_002","region_6",2022-05-10,250
"market_002","region_6",2022-05-11,243
"market_002","region_6",2022-05-12,222
"market_002","region_6",2022-05-13,288
"market_002","region_6",2022-05-14,293
"market_002","region_6",2022-05-15,276
"market_002","region_6",2022-05-16,257
"market_002","region_6",2022-05-17,246
"market_002","region_6",2022-05-18,267
"market_002","region_6",2022-05-19,267
"market_002","region_6",2022-05-20,277
"market_002","region_6",2022-05-21,273
"market_002","region_6",2022-05-22,280
"market_002","region_6",2022-05-23,268
"market_002","region_6",2022-05-24,263
"market_002","region_6",2022-05-25,260
"market_002","region_6",2022-05-26,288
"market_002","region_6",2022-05-27,247
"market_002","region_6",2022-05-28,299
"market_002","region_6",2022-05-29,266
"market_002","region_6",2022-05-30,264
"market_002","region_6",2022-05-31,261
"market_002","region_6",2022-06-01,249
"market_002","region_6",2022-06-02,220
"market_002","region_6",2022-06-03,269
"market_002","region_6",2022-06-04,281
"market_002","region_6",2022-06-05,247
"market_002","region_6",2022-06-06,282
"market_002","region_6",2022-06-07,254
"market_002","region_6",2022-06-08,289
"market_002","region_6",2022-06-09,275
"market_002","region_6",2022-06-10,263
"market_002","region_6",2022-06-11,283
"market_002","region_6",2022-06-12,282
"market_002","region_6",2022-06-13,285
"market_002","region_6",2022-06-14,259
"market_002","region_6",2022-06-15,224
"market_002","region_6",2022-06-16,239
"market_002","region_6",2022-06-17,254
"market_002","region_6",2022-06-18,281
"market_002","region_6",2022-06-19,266
"market_002","region_6",2022-06-20,251
"market_002","region_6",2022-06-21,240
"market_002","region_6",2022-06-22,253
"market_002","region_6",2022-06-23,242
"market_002","region_6",2022-06-24,260
"market_002","region_6",2022-06-25,255
"market_002","region_6",2022-06-26,244
"market_002","region_6",2022-06-27,280
"market_002","region_6",2022-06-28,234
"market_002","region_6",2022-06-29,259
"market_002","region_6",2022-06-30,254
"market_002","region_6",2022-07-01,254
"market_002","region_6",2022-07-02,285
"market_002","region_6",2022-07-03,288
"market_002","region_6",2022-07-04,298
"market_002","region_6",2022-07-05,273
"market_002","region_6",2022-07-06,265
"market_002","region_6",2022-07-07,321
"market_002","region_6",2022-07-08,270
"market_002","region_6",2022-07-09,267
"market_002","region_6",2022-07-10,274
"market_002","region_6",2022-07-11,273
"market_002","region_6",2022-07-12,278
"market_002","region_6",2022-07-13,271
"market_002","region_6",2022-07-14,264
"market_002","region_6",2022-07-15,258
"market_002","region_6",2022-07-16,298
"market_002","region_6",2022-07-17,292
"market_002","region_6",2022-07-18,256
"market_002","region_6",2022-07-19,273
"market_002","region_6",2022-07-20,263
"market_002","region_6",2022-07-21,278
"market_002","region_6",2022-07-22,271
"market_002","region_6",2022-07-23,255
"market_002","region_6",2022-07-24,286
"market_002","region_6",2022-07-25,250
"market_002","region_6",2022-07-26,265
"market_002","region_6",2022-07-27,283
"market_002","region_6",2022-07-28,233
"market_002","region_6",2022-07-29,296
"market_002","region_6",2022-07-30,297
"market_002","region_6",2022-07-31,265
"market_002","region_6",2022-08-01,265
"market_002","region_6",2022-08-02,252
"market_002","region_6",2022-08-03,254
"market_002","region_6",2022-08-04,282
"market_002","region_6",2022-08-05,264
"market_002","region_6",2022-08-06,285
"market_002","region_6",2022-08-07,284
"market_002","region_6",2022-08-08,276
"market_003","region_2",2022-01-01,272
"market_003","region_2",2022-01-02,294
"market_003","region_2",2022-01-03,254
"market_003","region_2",2022-01-04,247
"market_003","region_2",2022-01-05,277
"market_003","region_2",2022-01-06,274
"market_003","region_2",2022-01-07,285
"market_003","region_2",2022-01-08,295
"market_003","region_2",2022-01-09,268
"market_003","region_2",2022-01-10,307
"market_003","region_2",2022-01-11,297
"market_003","region_2",2022-01-12,316
"market_003","region_2",2022-01-13,285
"market_003","region_2",2022-01-14,267
"market_003","region_2",2022-01-15,294
"market_003","region_2",2022-01-16,288
"market_003","region_2",2022-01-17,337
"market_003","region_2",2022-01-18,270
"market_003","region_2",2022-01-19,260
"market_003","region_2",2022-01-20,294
"market_003","region_2",2022-01-21,290
"market_003","region_2",2022-01-22,286
"market_003","region_2",2022-01-23,319
"market_003","region_2",2022-01-24,276
"market_003","region_2",2022-01-25,312
"market_003","region_2",2022-01-26,280
"market_003","region_2",2022-01-27,252
"market_003","region_2",2022-01-28,237
"market_003","region_2",2022-01-29,295
"market_003","region_2",2022-01-30,262
"market_003","region_2",2022-01-31,279
"market_003","region_2",2022-02-01,309
"market_003","region_2",2022-02-02,289
"market_003","region_2",2022-02-03,279
"market_003","region_2",2022-02-04,259
"market_003","region_2",2022-02-05,275
"market_003","region_2",2022-02-06,274
"market_003","region_2",2022-02-07,288
"market_003","region_2",2022-02-08,267
"market_003","region_2",2022-02-09,257
"market_003","region_2",2022-02-10,265
"market_003","region_2",2022-02-11,261
"market_003","region_2",2022-02-12,274
"market_003","region_2",2022-02-13,273
"market_003","region_2",2022-02-14,263
"market_003","region_2",2022-02-15,285
"market_003","region_2",2022-02-16,226
"market_003","region_2",2022-02-17,283
"market_003","region_2",2022-02-18,273
"market_003","region_2",2022-02-19,240
"market_003","region_2",2022-02-20,263
"market_003","region_2",2022-02-21,247
"market_003","region_2",2022-02-22,244
"market_003","region_2",2022-02-23,236
"market_003","region_2",2022-02-24,259
"market_003","region_2",2022-02-25,269
"market_003","region_2",2022-02-26,279
"market_003","region_2",2022-02-27,247
"market_003","region_2",2022-02-28,273
"market_003","region_2",2022-03-01,275
"market_003","region_2",2022-03-02,274
"market_003","region_2",2022-03-03,280
"market_003","region_2",2022-03-04,280
"market_003","region_2",2022-03-05,314
"market_003","region_2",2022-03-06,268
"market_003","region_2",2022-03-07,263
"market_003","region_2",2022-03-08,288
"market_003","region_2",2022-03-09,295
"market_003","region_2",2022-03-10,282
"market_003","region_2",2022-03-11,306
"market_003","region_2",2022-03-12,310
"market_003","region_2",2022-03-13,309
"market_003","region_2",2022-03-14,315
"market_003","region_2",2022-03-15,306
"market_003","region_2",2022-03-16,241
"market_003","region_2",2022-03-17,322
"market_003","region_2",2022-03-18,309
"market_003","region_2",2022-03-19,296
"market_003","region_2",2022-03-20,280
"market_003","region_2",2022-03-21,305
"market_003","region_2",2022-03-22,297
"market_003","region_2",2022-03-23,311
"market_003","region_2",2022-03-24,295
"market_003","region_2",2022-03-25,297
"market_003","region_2",2022-03-26,340
"market_003","region_2",2022-03-27,266
"market_003","region_2",2022-03-28,303
"market_003","region_2",2022-03-29,298
"market_003","region_2",2022-03-30,303
"market_003","region_2",2022-03-31,315
"market_003","region_2",2022-04-01,314
"market_003","region_2",2022-04-02,342
"market_003","region_2",2022-04-03,280
"market_003","region_2",2022-04-04,312
"market_003","region_2",2022-04-05,314
"market_003","region_2",2022-04-06,315
"market_003","region_2",2022-04-07,318
"market_003","region_2",2022-04-08,321
"market_003","region_2",2022-04-09,287
"market_003","region_2",2022-04-10,317
"market_003","region_2",2022-04-11,327
"market_003","region_2",2022-04-12,341
"market_003","region_2",2022-04-13,309
"market_003","region_2",2022-04-14,352
"market_003","region_2",2022-04-15,321
"market_003","region_2",2022-04-16,329
"market_003","region_2",2022-04-17,329
"market_003","region_2",2022-04-18,310
"market_003","region_2",2022-04-19,328
"market_003","region_2",2022-04-20,290
"market_003","region_2",2022-04-21,317
"market_003","region_2",2022-04-22,314
"market_003","region_2",2022-04-23,316
"market_003","region_2",2022-04-24,342
"market_003","region_2",2022-04-25,327
"market_003","region_2",2022-04-26,330
"market_003","region_2",2022-04-27,294
"market_003","region_2",2022-04-28,317
"market_003","region_2",2022-04-29,289
"market_003","region_2",2022-04-30,315
"market_003","region_2",2022-05-01,346
"market_003","region_2",2022-05-02,295
"market_003","region_2",2022-05-03,278
"market_003","region_2",2022-05-04,295
"market_003","region_2",2022-05-05,321
"market_003","region_2",2022-05-06,275
"market_003","region_2",2022-05-07,300
"market_003","region_2",2022-05-08,302
"market_003","region_2",2022-05-09,318
"market_003","region_2",2022-05-10,267
"market_003","region_2",2022-05-11,308
"market_003","region_2",2022-05-12,274
"market_003","region_2",2022-05-13,269
"market_003","region_2",2022-05-14,276
"market_003","region_2",2022-05-15,298
"market_003","region_2",2022-05-16,291
"market_003","region_2",2022-05-17,279
"market_003","region_2",2022-05-18,308
"market_003","region_2",2022-05-19,294
"market_003","region_2",2022-05-20,294
"market_003","region_2",2022-05-21,288
"market_003","region_2",2022-05-22,270
"market_003","region_2",2022-05-23,250
"market_003","region_2",2022-05-24,284
"market_003","region_2",2022-05-25,278
"market_003","region_2",2022-05-26,312
"market_003","region_2",2022-05-27,297
"market_003","region_2",2022-05-28,308
"market_003","region_2",2022-05-29,297
"market_003","region_2",2022-05-30,272
"market_003","region_2",2022-05-31,288
"market_003","region_2",2022-06-01,281
"market_003","region_2",2022-06-02,271
"market_003","region_2",2022-06-03,290
"market_003","region_2",2022-06-04,329
"market_003","region_2",2022-06-05,266
"market_003","region_2",2022-06-06,308
"market_003","region_2",2022-06-07,269
"market_003","region_2",2022-06-08,296
"market_003","region_2",2022-06-09,265
"market_003","region_2",2022-06-10,285
"market_003","region_2",2022-06-11,290
"market_003","region_2",2022-06-12,282
"market_003","region_2",2022-06-13,288
"market_003","region_2",2022-06-14,271
"market_003","region_2",2022-06-15,301
"market_003","region_2",2022-06-16,281
"market_003","region_2",2022-06-17,298
"market_003","region_2",2022-06-18,268
"market_003","region_2",2022-06-19,280
"market_003","region_2",2022-06-20,305
"market_003","region_2",2022-06-21,293
"market_003","region_2",2022-06-22,272
"market_003","region_2",2022-06-23,285
"market_003","region_2",2022-06-24,311
"market_003","region_2",2022-06-25,297
"market_003","region_2",2022-06-26,294
"market_003","region_2",2022-06-27,262
"market_003","region_2",2022-06-28,321
"market_003","region_2",2022-06-29,303
"market_003","region_2",2022-06-30,309
"market_003","region_2",2022-07-01,264
"market_003","region_2",2022-07-02,305
"market_003","region_2",2022-07-03,299
"market_003","region_2",2022-07-04,276
"market_003","region_2",2022-07-05,303
"market_003","region_2",2022-07-06,315
"market_003","region_2",2022-07-07,290
"market_003","region_2",2022-07-08,298
"market_003","region_2",2022-07-09,329
"market_003","region_2",2022-07-10,269
"market_003","region_2",2022-07-11,305
"market_003","region_2",2022-07-12,282
"market_003","region_2",2022-07-13,277
"market_003","region_2",2022-07-14,267
"market_003","region_2",2022-07-15,309
"market_003","region_2",2022-07-16,274
"market_003","region_2",2022-07-17,313
"market_003","region_2",2022-07-18,325
"market_003","region_2",2022-07-19,265
"market_003","region_2",2022-07-20,262
"market_003","region_2",2022-07-21,299
"market_003","region_2",2022-07-22,283
"market_003","region_2",2022-07-23,302
"market_003","region_2",2022-07-24,298
"market_003","region_2",2022-07-25,289
"market_003","region_2",2022-07-26,299
"market_003","region_2",2022-07-27,270
"market_003","region_2",2022-07-28,284
"market_003","region_2",2022-07-29,302
"market_003","region_2",2022-07-30,259
"market_003","region_2",2022-07-31,285
"market_003","region_2",2022-08-01,309
"market_003","region_2",2022-08-02,282
"market_003","region_2",2022-08-03,245
"market_003","region_2",2022-08-04,280
"market_003","region_2",2022-08-05,317
"market_003","region_2",2022-08-06,306
"market_003","region_2",2022-08-07,305
"market_003","region_2",2022-08-08,298
"market_004","region_4",2022-01-01,190
"market_004","region_4",2022-01-02,167
"market_004","region_4",2022-01-03,182
"market_004","region_4",2022-01-04,182
"market_004","region_4",2022-01-05,154
"market_004","region_4",2022-01-06,175
"market_004","region_4",2022-01-07,175
"market_004","region_4",2022-01-08,195
"market_004","region_4",2022-01-09,164
"market_004","region_4",2022-01-10,215
"market_004","region_4",2022-01-11,210
"market_004","region_4",2022-01-12,175
"market_004","region_4",2022-01-13,177
"market_004","region_4",2022-01-14,176
"market_004","region_4",2022-01-15,192
"market_004","region_4",2022-01-16,185
"market_004","region_4",2022-01-17,190
"market_004","region_4",2022-01-18,143
"market_004","region_4",2022-01-19,172
"market_004","region_4",2022-01-20,175
"market_004","region_4",2022-01-21,150
"market_004","region_4",2022-01-22,182
"market_004","region_4",2022-01-23,177
"market_004","region_4",2022-01-24,170
"market_004","region_4",2022-01-25,175
"market_004","region_4",2022-01-26,181
"market_004","region_4",2022-01-27,184
"market_004","region_4",2022-01-28,171
"market_004","region_4",2022-01-29,204
"market_004","region_4",2022-01-30,181
"market_004","region_4",2022-01-31,178
"market_004","region_4",2022-02-01,196
"market_004","region_4",2022-02-02,199
"market_004","region_4",2022-02-03,171
"market_004","region_4",2022-02-04,173
"market_004","region_4",2022-02-05,177
"market_004","region_4",2022-02-06,166
"market_004","region_4",2022-02-07,149
"market_004","region_4",2022-02-08,176
"market_004","region_4",2022-02-09,167
"market_004","region_4",2022-02-10,184
"market_004","region_4",2022-02-11,176
"market_004","region_4",2022-02-12,188
"market_004","region_4",2022-02-13,168
"market_004","region_4",2022-02-14,151
"market_004","region_4",2022-02-15,179
"market_004","region_4",2022-02-16,175
"market_004","region_4",2022-02-17,136
"market_004","region_4",2022-02-18,186
"market_004","region_4",2022-02-19,142
"market_004","region_4",2022-02-20,173
"market_004","region_4",2022-02-21,160
"market_004","region_4",2022-02-22,165
"market_004","region_4",2022-02-23,187
"market_004","region_4",2022-02-24,149
"market_004","region_4",2022-02-25,173
"market_004","region_4",2022-02-26,229
"market_004","region_4",2022-02-27,156
"market_004","region_4",2022-02-28,161
"market_004","region_4",2022-03-01,169
"market_004","region_4",2022-03-02,172
"market_004","region_4",2022-03-03,164
"market_004","region_4",2022-03-04,176
"market_004","region_4",2022-03-05,208
"market_004","region_4",2022-03-06,183
"market_004","region_4",2022-03-07,190
"market_004","region_4",2022-03-08,189
"market_004","region_4",2022-03-09,192
"market_004","region_4",2022-03-10,199
"market_004","region_4",2022-03-11,198
"market_004","region_4",2022-03-12,184
"market_004","region_4",2022-03-13,194
"market_004","region_4",2022-03-14,174
"market_004","region_4",2022-03-15,186
"market_004","region_4",2022-03-16,175
"market_004","region_4",2022-03-17,183
"market_004","region_4",2022-03-18,172
"market_004","region_4",2022-03-19,190
"market_004","region_4",2022-03-20,171
"market_004","region_4",2022-03-21,176
"market_004","region_4",2022-03-22,192
"market_004","region_4",2022-03-23,186
"market_004","region_4",2022-03-24,201
"market_004","region_4",2022-03-25,198
"market_004","region_4",2022-03-26,192
"market_004","region_4",2022-03-27,209
"market_004","region_4",2022-03-28,208
"market_004","region_4",2022-03-29,158
"market_004","region_4",2022-03-30,201
"market_004","region_4",2022-03-31,205
"market_004","region_4",2022-04-01,218
"market_004","region_4",2022-04-02,187
"market_004","region_4",2022-04-03,248
"market_004","region_4",2022-04-04,158
"market_004","region_4",2022-04-05,199
"market_004","region_4",2022-04-06,199
"market_004","region_4",2022-04-07,195
"market_004","region_4",2022-04-08,212
"market_004","region_4",2022-04-09,205
"market_004","region_4",2022-04-10,189
"market_004","region_4",2022-04-11,227
"market_004","region_4",2022-04-12,194
"market_004","region_4",2022-04-13,207
"market_004","region_4",2022-04-14,191
"market_004","region_4",2022-04-15,186
"market_004","region_4",2022-04-16,197
"market_004","region_4",2022-04-17,186
"market_004","region_4",2022-04-18,209
"market_004","region_4",2022-04-19,167
"market_004","region_4",2022-04-20,176
"market_004","region_4",2022-04-21,197
"market_004","region_4",2022-04-22,170
"market_004","region_4",2022-04-23,194
"market_004","region_4",2022-04-24,195
"market_004","region_4",2022-04-25,216
"market_004","region_4",2022-04-26,183
