"ID","location","duration","EffectSize","Power","AvgScaledL2Imbalance","Investment","AvgATT","Average_MDE","ProportionTotal_Y","abs_lift_in_zero","Holdout","rank"
22,"market_040, market_060, market_064",14,-0.05,1,0.821532076355975,1144.2,-26.8136633628706,-0.0492510779586566,0.0449415861890958,0.001,0.0449415861890958,8
23,"market_046, market_059, market_074",14,-0.05,1,0.290643034236624,2409.45,-56.7131473337422,-0.0494575974544626,0.0944934052674436,0.001,0.0944934052674436,8
24,"market_047, market_059, market_074",14,-0.05,1,0.280943766486211,2258.05,-53.0666156426914,-0.0493842574866662,0.0885541896074407,0.001,0.0885541896074407,8
25,"market_047, market_063, market_074",14,-0.05,1,0.389905565562434,1686.85,-41.1202253069177,-0.0511306292514859,0.0662372900380392,0.001,0.0662372900380392,8
26,"market_051, market_059, market_074",14,-0.05,1,0.27944977453932,2260.65,-52.5384197849799,-0.0488632478150119,0.0886403952617732,0.001,0.0886403952617732,8
27,"market_053, market_060, market_074",14,-0.05,1,0.391356198271899,2065.25,-48.4838693982017,-0.0493342120667622,0.0810923444575705,0.001,0.0810923444575705,8
28,"market_057, market_060, market_074",14,-0.05,1,0.366891319614306,2020.2,-46.9121055609624,-0.048825473044569,0.0792709024063512,0.001,0.0792709024063512,8
29,"market_059, market_060, market_074",14,-0.05,1,0.304140693005357,2492.65,-58.0616768857121,-0.048968721185281,0.0977769306084931,0.001,0.0977769306084931,8
30,"market_059, market_064, market_074",14,-0.05,1,0.296655507497138,2235.9,-53.9540406956645,-0.0506405004705948,0.0877646873831578,0.001,0.0877646873831578,8
31,"market_059, market_072, market_074",14,-0.05,1,0.273997962478818,2211.2,-52.0706458716912,-0.0494791549545142,0.0866885071177809,0.001,0.0866885071177809,8
32,"market_067, market_073, market_074",14,-0.05,1,0.47921395368546,2431.1,-56.158469713259,-0.0485824369057751,0.0954218224684294,0.001,0.0954218224684294,8
33,"market_001, market_026, market_074",14,-0.05,1,0.357516339146429,2713.1,-61.4097788494211,-0.0476501152130429,0.106401161678073,0.002,0.106401161678073,33
34,"market_004, market_024, market_074",14,-0.05,1,0.389613240737679,1834.35,-41.6128874425466,-0.0477519832935771,0.0718251102155723,0.002,0.0718251102155723,33
35,"market_005, market_056, market_074",14,-0.05,1,0.354505172413475,2093.45,-47.8930057112813,-0.0481370649400856,0.0821011528552653,0.002,0.0821011528552653,33
36,"market_006, market_059, market_074",14,-0.05,1,0.293697008893225,2125.5,-53.0002787466141,-0.0522409053110107,0.0836036845459553,0.002,0.0836036845459553,33
37,"market_007, market_011, market_074",14,-0.05,1,0.428726123530592,1702.8,-38.8976494120703,-0.0480685562379855,0.066713064353153,0.002,0.066713064353153,33
38,"market_017, market_059, market_074",14,-0.05,1,0.311559778737575,2562.05,-63.9857333770565,-0.0523183126674496,0.100694777125519,0.002,0.100694777125519,33
39,"market_022, market_056, market_074",14,-0.05,1,0.359554785054455,2327.8,-52.8809513149035,-0.0478156772854398,0.0914013778242148,0.002,0.0914013778242148,33
40,"market_024, market_043, market_074",14,-0.05,1,0.351284824770065,2063.65,-51.5372797162783,-0.0523171594698272,0.0812222849453327,0.002,0.0812222849453327,33
41,"market_024, market_066, market_074",14,-0.05,1,0.350654661667972,2034.65,-50.926433086036,-0.0524277899955167,0.080034997978844,0.002,0.080034997978844,33
42,"market_026, market_033, market_059",14,-0.05,1,0.420433733533214,1995.1,-45.0375436747097,-0.0475288750926711,0.0781377151760125,0.002,0.0781377151760125,33
43,"market_026, market_054, market_059",14,-0.05,1,0.392678860151146,2264.75,-51.7942318634782,-0.04812141340652,0.0887688189345032,0.002,0.0887688189345032,33
44,"market_026, market_054, market_080",14,-0.05,1,0.51505694378725,1585.8,-36.4124097273309,-0.0483052538436681,0.062129881331976,0.002,0.062129881331976,33
45,"market_027, market_059, market_074",14,-0.05,1,0.269692131937218,2335.25,-57.6163163482926,-0.0517184045527248,0.091751382892905,0.002,0.091751382892905,33
46,"market_046, market_068, market_074",14,-0.05,1,0.388380347300727,1802.65,-44.3070352714757,-0.051532298501318,0.070759168451663,0.002,0.070759168451663,33
47,"market_056, market_059, market_074",14,-0.05,1,0.294579623371831,2530.95,-58.1137162209733,-0.0483046266967421,0.0992196745066622,0.002,0.0992196745066622,33
48,"market_059, market_061, market_074",14,-0.05,1,0.29336187057238,2318.45,-53.3636339754702,-0.0484161672576697,0.0908886943433164,0.002,0.0908886943433164,33
49,"market_060, market_070, market_074",14,-0.05,1,0.377751080158661,1997.85,-49.6578363867811,-0.052082423068573,0.0785363847269872,0.002,0.0785363847269872,33
50,"market_012, market_026, market_074",14,-0.05,1,0.36568882956712,2805,-63.2209907166798,-0.0474578774885237,0.110022051962544,0.003,0.110022051962544,50
51,"market_014, market_060, market_074",14,-0.05,1,0.387536860806861,1940.55,-42.9291818671542,-0.0466217635900624,0.0759776441688448,0.003,0.0759776441688448,50
52,"market_023, market_038, market_074",14,-0.05,1,0.375824885288341,2086.1,-53.2978448051589,-0.0534576967058774,0.0821983554185815,0.003,0.0821983554185815,50
53,"market_023, market_059, market_074",14,-0.05,1,0.291043029678403,2571.15,-64.8374378560354,-0.0528002173099191,0.101219974330434,0.003,0.101219974330434,50
54,"market_027, market_034, market_074",14,-0.05,1,0.375494049790822,1823,-46.2733234212952,-0.0531288710758373,0.0716892288689338,0.003,0.0716892288689338,50
55,"market_027, market_067, market_079",14,-0.05,1,0.651973374599088,1809.15,-45.3913195400727,-0.052547420688047,0.0712855032678516,0.003,0.0712855032678516,50
56,"market_030, market_052, market_067",14,-0.05,1,0.735036168987355,1531.1,-33.8443509601285,-0.0465864525937476,0.0600413534338291,0.003,0.0600413534338291,50
57,"market_010, market_067, market_074",14,-0.05,1,0.516224760014247,2910.35,-63.4493697332748,-0.0459765956199121,0.114249162654902,0.004,0.114249162654902,57
58,"market_017, market_031, market_041",14,-0.05,1,0.688621282299278,1175,-30.0989550119435,-0.0535905610433788,0.0462566648220511,0.004,0.0462566648220511,57
59,"market_017, market_032, market_074",14,-0.05,1,0.369835837111137,2089.15,-54.0479477392727,-0.0540944898590655,0.0822227508603501,0.004,0.0822227508603501,57
60,"market_017, market_059, market_071",14,-0.05,1,0.422417640468654,1604.55,-41.3153616114113,-0.0538533176970399,0.0631581555225845,0.004,0.0631581555225845,57
61,"market_026, market_028, market_059",14,-0.05,1,0.402649939544165,2152.6,-46.9959257641357,-0.0460387270462403,0.0842080089350517,0.004,0.0842080089350517,57
62,"market_026, market_042, market_059",14,-0.05,1,0.401469453428646,2441.7,-53.4687967547083,-0.0461715109621025,0.0956523783533304,0.004,0.0956523783533304,57
63,"market_035, market_055, market_067",14,-0.05,1,0.63233282665312,1721.95,-44.2514090471009,-0.0537534760502348,0.0678377826995617,0.004,0.0678377826995617,57
64,"market_035, market_074, market_077",14,-0.05,1,0.384058929082601,1731.9,-44.9419891302989,-0.0542502097002278,0.0681453169473491,0.004,0.0681453169473491,57
65,"market_044, market_063, market_072",14,-0.05,1,0.775678003238497,564.35,-14.4456020068446,-0.0535524514448233,0.0221255280728334,0.004,0.0221255280728334,57
66,"market_046, market_056, market_069",14,-0.05,1,0.737760563974193,1230.15,-26.9691749004812,-0.0462223903859991,0.0482649279247417,0.004,0.0482649279247417,57
67,"market_013, market_023, market_041",14,-0.05,1,0.778544311384693,1196.3,-31.4138888263809,-0.0548621048280577,0.0472152919224291,0.005,0.0472152919224291,67
68,"market_020, market_041, market_064",14,-0.05,1,0.892660196352158,885.8,-23.509908221187,-0.0554179715871183,0.0350516993763615,0.005,0.0350516993763615,67
69,"market_010, market_042, market_049",14,-0.05,1,0.811113431914154,1217.3,-25.169257436379,-0.043707813144917,0.0476148462821726,0.006,0.0476148462821726,69
70,"market_026, market_059, market_074",14,-0.05,1,0.576864459224383,3035.6,-63.8401602637059,-0.0444232851902054,0.119131031836178,0.006,0.119131031836178,69
71,"market_009, market_041, market_074",14,-0.05,1,0.365618931843538,1714.95,-46.8241357683249,-0.0569197083800291,0.0676258077988056,0.007,0.0676258077988056,71
72,"market_018, market_023, market_074",14,-0.05,1,0.336222819467839,2057.7,-56.4580875659863,-0.0571830327093778,0.0813690367997023,0.007,0.0813690367997023,71
73,"market_025, market_042, market_072",14,-0.05,1,0.861555850542411,956.3,-19.0642785075195,-0.0422078453849927,0.0372819230787705,0.008,0.0372819230787705,73
74,"market_017, market_023, market_037",14,-0.05,1,0.627086157084534,1518.85,-43.3842693696398,-0.0593912037433628,0.0602164191688005,0.009,0.0602164191688005,74
75,"market_017, market_062, market_074",14,-0.05,1,0.380770265352532,1868.95,-53.1943113287599,-0.0591921519122676,0.0738437382209833,0.009,0.0738437382209833,74
76,"market_023, market_045, market_058",14,-0.05,1,0.900978240208868,1009.6,-30.8511952638113,-0.0632747679041701,0.0401552763548508,0.013,0.0401552763548508,76
77,"market_024, market_028, market_039",14,-0.05,1,0.870825323506633,949.45,-14.3063463167073,-0.0322346093415577,0.0368051375536352,0.018,0.0368051375536352,77
