"location","duration","EffectSize","power","AvgScaledL2Imbalance","Investment","AvgATT","AvgDetectedLift"
"columbus, new york",14,-0.1,0,0.36077982960768,11031.2,-404.87275437848,-0.102483459336751
"columbus, new york",14,-0.05,0,0.36077982960768,5515.6,-207.887040092766,-0.0526214292999037
"columbus, new york",14,0,0,0.36077982960768,0,-10.9013258070512,-0.00275939926305644
"columbus, new york",14,0.05,0,0.36077982960768,5515.6,186.084388478663,0.0471026307737908
"columbus, new york",14,0.1,1,0.36077982960768,11031.2,383.070102764378,0.096964660810638
"columbus, phoenix",14,-0.1,0,0.651083581191816,15651.4,-358.382679425862,-0.0665002887714282
"columbus, phoenix",14,-0.05,0,0.651083581191816,7825.7,-78.8933937115767,-0.0146391937031744
"columbus, phoenix",14,0,0,0.651083581191816,0,200.595892002709,0.0372219013650797
"columbus, phoenix",14,0.05,0,0.651083581191816,7825.7,480.085177716996,0.0890829964333338
"columbus, phoenix",14,0.1,1,0.651083581191816,15651.4,759.574463431282,0.140944091501588
"dallas, denver",14,-0.1,1,0.274934374431396,7912.2,-304.192391131606,-0.106831650248071
"dallas, denver",14,-0.05,1,0.274934374431396,3956.1,-162.903105417321,-0.057211186372964
"dallas, denver",14,0,0,0.274934374431396,0,-21.6138197030351,-0.00759072249785672
"dallas, denver",14,0.05,0,0.274934374431396,3956.1,119.675466011251,0.0420297413772505
"dallas, denver",14,0.1,1,0.274934374431396,7912.2,260.964751725537,0.0916502052523578
"dallas, memphis",14,-0.1,0,0.499906327462429,9208.6,-311.720331237899,-0.0952798977591797
"dallas, memphis",14,-0.05,0,0.499906327462429,4604.3,-147.281045523613,-0.045017669856912
"dallas, memphis",14,0,0,0.499906327462429,0,17.1582401906723,0.00524455804535583
"dallas, memphis",14,0.05,0,0.499906327462429,4604.3,181.597525904958,0.0555067859476237
"dallas, memphis",14,0.1,1,0.499906327462429,9208.6,346.036811619244,0.105769013849891
"dallas, washington",14,-0.1,1,0.347693254253515,6855.5,-190.813847560558,-0.0796928015505312
"dallas, washington",14,-0.05,0,0.347693254253515,3427.75,-68.3942047034153,-0.028564623858894
"dallas, washington",14,0,0,0.347693254253515,0,54.0254381537275,0.0225635538327432
"dallas, washington",14,0.05,0,0.347693254253515,3427.75,176.44508101087,0.0736917315243803
"dallas, washington",14,0.1,0,0.347693254253515,6855.5,298.864723868013,0.124819909216017
"detroit, new orleans",14,-0.1,1,0.3466421601113,9232.8,-537.901587366266,-0.153441218569221
"detroit, new orleans",14,-0.05,1,0.3466421601113,4616.4,-373.030158794837,-0.1064101751564
"detroit, new orleans",14,0,0,0.3466421601113,0,-208.158730223409,-0.0593791317435784
"detroit, new orleans",14,0.05,0,0.3466421601113,4616.4,-43.2873016519796,-0.0123480883307573
"detroit, new orleans",14,0.1,0,0.3466421601113,9232.8,121.584126919449,0.0346829550820638
"honolulu, las vegas",14,-0.1,1,0.482476832450882,7864.9,-1170.84522778315,-0.316543143918906
"honolulu, las vegas",14,-0.05,0,0.482476832450882,3932.45,-1030.40058492601,-0.278573318581068
"honolulu, las vegas",14,0,0,0.482476832450882,0,-889.955942068863,-0.240603493243229
"honolulu, las vegas",14,0.05,0,0.482476832450882,3932.45,-749.51129921172,-0.202633667905391
"honolulu, las vegas",14,0.1,1,0.482476832450882,7864.9,-609.066656354577,-0.164663842567552
"houston, reno",14,-0.1,1,0.395897110399131,9370.9,-700.098925078037,-0.188595399678995
"houston, reno",14,-0.05,1,0.395897110399131,4685.45,-532.761425078037,-0.143517366327828
"houston, reno",14,0,0,0.395897110399131,0,-365.423925078037,-0.0984393329766615
"houston, reno",14,0.05,0,0.395897110399131,4685.45,-198.086425078038,-0.0533612996254946
"houston, reno",14,0.1,1,0.395897110399131,9370.9,-30.7489250780371,-0.00828326627432757
"houston, san diego",14,-0.1,1,0.371166488283253,9508.5,-926.5704799244,-0.232638659414712
"houston, san diego",14,-0.05,1,0.371166488283253,4754.25,-756.775837067257,-0.190007473826641
"houston, san diego",14,0,1,0.371166488283253,0,-586.981194210114,-0.147376288238569
"houston, san diego",14,0.05,1,0.371166488283253,4754.25,-417.186551352971,-0.104745102650498
"houston, san diego",14,0.1,1,0.371166488283253,9508.5,-247.391908495828,-0.0621139170624262
"indianapolis, tucson",14,-0.1,0,0.681004356695817,12266.1,-258.525342559788,-0.061536066238219
"indianapolis, tucson",14,-0.05,0,0.681004356695817,6133.05,-39.4878425597879,-0.00939918102923129
"indianapolis, tucson",14,0,0,0.681004356695817,0,179.549657440212,0.0427377041797566
"indianapolis, tucson",14,0.05,0,0.681004356695817,6133.05,398.587157440212,0.0948745893887444
"indianapolis, tucson",14,0.1,1,0.681004356695817,12266.1,617.624657440212,0.147011474597732
"jacksonville, milwaukee",14,-0.1,1,0.347701562073918,9097.7,-313.056716440814,-0.096702508524336
"jacksonville, milwaukee",14,-0.05,1,0.347701562073918,4548.85,-150.597787869385,-0.0465193145534659
"jacksonville, milwaukee",14,0,0,0.347701562073918,0,11.8611407020435,0.00366387941740442
"jacksonville, milwaukee",14,0.05,0,0.347701562073918,4548.85,174.320069273472,0.0538470733882747
"jacksonville, milwaukee",14,0.1,1,0.347701562073918,9097.7,336.778997844901,0.104030267359145
"jacksonville, minneapolis",14,-0.1,1,0.227444209733433,6941.5,-271.69961345225,-0.108554094493102
"jacksonville, minneapolis",14,-0.05,0,0.227444209733433,3470.75,-147.744256309393,-0.0590293219649412
"jacksonville, minneapolis",14,0,0,0.227444209733433,0,-23.7888991665355,-0.00950454943678018
"jacksonville, minneapolis",14,0.05,0,0.227444209733433,3470.75,100.166457976322,0.0400202230913808
"jacksonville, minneapolis",14,0.1,0,0.227444209733433,6941.5,224.121815119179,0.0895449956195418
"kansas city, milwaukee",14,-0.1,1,0.412867877379623,11734.3,-313.109083481341,-0.0766513356634085
"kansas city, milwaukee",14,-0.05,0,0.412867877379623,5867.15,-103.56801205277,-0.0253541876447092
"kansas city, milwaukee",14,0,0,0.412867877379623,0,105.973059375802,0.0259429603739904
"kansas city, milwaukee",14,0.05,0,0.412867877379623,5867.15,315.514130804373,0.07724010839269
"kansas city, milwaukee",14,0.1,0,0.412867877379623,11734.3,525.055202232945,0.12853725641139
"las vegas, saint paul",14,-0.1,1,0.768848905030967,8496.5,-1152.04288708623,-0.296684230036414
"las vegas, saint paul",14,-0.05,1,0.768848905030967,4248.25,-1000.31967280052,-0.257611131705104
"las vegas, saint paul",14,0,1,0.768848905030967,0,-848.596458514805,-0.218538033373794
"las vegas, saint paul",14,0.05,1,0.768848905030967,4248.25,-696.87324422909,-0.179464935042483
"las vegas, saint paul",14,0.1,1,0.768848905030967,8496.5,-545.150029943376,-0.140391836711173
"los angeles, san antonio",14,-0.1,0,0.777353287769596,10359.9,-109.553149783503,-0.0318512809088501
"los angeles, san antonio",14,-0.05,0,0.777353287769596,5179.95,75.4450645022116,0.0219347590406582
"los angeles, san antonio",14,0,0,0.777353287769596,0,260.443278787926,0.0757207989901664
"los angeles, san antonio",14,0.05,1,0.777353287769596,5179.95,445.441493073641,0.129506838939675
"los angeles, san antonio",14,0.1,1,0.777353287769596,10359.9,630.439707359355,0.183292878889183
"miami, phoenix",14,-0.1,0,0.65937834137189,14941.5,-2.38417596679522,-0.000496185517963243
"miami, phoenix",14,-0.05,0,0.65937834137189,7470.75,264.428324033205,0.0550318041754832
"miami, phoenix",14,0,0,0.65937834137189,0,531.240824033205,0.11055979386893
"miami, phoenix",14,0.05,0,0.65937834137189,7470.75,798.053324033205,0.166087783562376
"miami, phoenix",14,0.1,1,0.65937834137189,14941.5,1064.8658240332,0.221615773255823
"milwaukee, orlando",14,-0.1,1,0.420240043320537,10200.8,-229.738610029933,-0.0654793247921879
"milwaukee, orlando",14,-0.05,0,0.420240043320537,5100.4,-47.5814671727899,-0.013561509502865
"milwaukee, orlando",14,0,0,0.420240043320537,0,134.575675684353,0.0383563057864579
"milwaukee, orlando",14,0.05,0,0.420240043320537,5100.4,316.732818541496,0.0902741210757809
"milwaukee, orlando",14,0.1,1,0.420240043320537,10200.8,498.88996139864,0.142191936365104
"new orleans, salt lake city",14,-0.1,1,0.576807382867717,14449.5,-1130.6543693756,-0.195779678451007
"new orleans, salt lake city",14,-0.05,1,0.576807382867717,7224.75,-872.627583661312,-0.151100771698285
"new orleans, salt lake city",14,0,0,0.576807382867717,0,-614.600797947026,-0.106421864945564
"new orleans, salt lake city",14,0.05,0,0.576807382867717,7224.75,-356.574012232741,-0.0617429581928419
"new orleans, salt lake city",14,0.1,0,0.576807382867717,14449.5,-98.5472265184549,-0.01706405144012
"oakland, oklahoma city",14,-0.1,1,0.383401545555224,32944.3,1.95625084040304,0.00018477364154328
"oakland, oklahoma city",14,-0.05,1,0.383401545555224,16472.15,590.247322268973,0.0557505943994067
"oakland, oklahoma city",14,0,1,0.383401545555224,0,1178.53839369755,0.11131641515727
"oakland, oklahoma city",14,0.05,1,0.383401545555224,16472.15,1766.82946512612,0.166882235915134
"oakland, oklahoma city",14,0.1,1,0.383401545555224,32944.3,2355.12053655469,0.222448056672997
"philadelphia, phoenix",14,-0.1,0,0.551227862202106,26100.5,-347.662568604153,-0.0397914880902299
"philadelphia, phoenix",14,-0.05,0,0.551227862202106,13050.25,118.417788538704,0.0135534292380907
"philadelphia, phoenix",14,0,1,0.551227862202106,0,584.498145681562,0.0668983465664112
"philadelphia, phoenix",14,0.05,1,0.551227862202106,13050.25,1050.57850282442,0.120243263894732
"philadelphia, phoenix",14,0.1,1,0.551227862202106,26100.5,1516.65885996728,0.173588181223052
"phoenix, portland",14,-0.1,1,0.429886720425238,14449.5,-164.602534273814,-0.0342274144301435
"phoenix, portland",14,-0.05,1,0.429886720425238,7224.75,93.4242514404718,0.0194266181015152
"phoenix, portland",14,0,1,0.429886720425238,0,351.451037154758,0.0730806506331739
"phoenix, portland",14,0.05,1,0.429886720425238,7224.75,609.477822869043,0.126734683164833
"phoenix, portland",14,0.1,1,0.429886720425238,14449.5,867.504608583329,0.180388715696491
